CIK,Company Name,form,accession_number,filing_date,primary_document,document_url,txt_file_url
0001845192,"Masterworks 047, LLC",1-K,0001493152-24-016304,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845192/000149315224016304/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845192/000149315224016304/0001493152-24-016304.txt
0001845192,"Masterworks 047, LLC",1-SA,0001493152-23-034160,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845192/000149315223034160/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845192/000149315223034160/0001493152-23-034160.txt
0001845485,"Masterworks 048, LLC",1-K,0001493152-24-016305,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845485/000149315224016305/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845485/000149315224016305/0001493152-24-016305.txt
0001845485,"Masterworks 048, LLC",1-SA,0001493152-23-034161,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845485/000149315223034161/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845485/000149315223034161/0001493152-23-034161.txt
0001845484,"Masterworks 049, LLC",1-K,0001493152-24-016306,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845484/000149315224016306/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845484/000149315224016306/0001493152-24-016306.txt
0001845484,"Masterworks 049, LLC",1-SA,0001493152-23-034162,2023-09-27,form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845484/000149315223034162/form-1sa.htm,https://www.sec.gov/Archives/edgar/data/0001845484/000149315223034162/0001493152-23-034162.txt
0001845425,"Masterworks 050, LLC",1-K,0001493152-24-016307,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845425/000149315224016307/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001845425/000149315224016307/0001493152-24-016307.txt
0001845425,"Masterworks 050, LLC",1-SA,0001493152-23-034163,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001845425/000149315223034163/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001845425/000149315223034163/0001493152-23-034163.txt
0001849907,"Masterworks 051, LLC",1-K,0001493152-24-016308,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849907/000149315224016308/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849907/000149315224016308/0001493152-24-016308.txt
0001849907,"Masterworks 051, LLC",1-SA,0001493152-23-034164,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849907/000149315223034164/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849907/000149315223034164/0001493152-23-034164.txt
0001849911,"Masterworks 052, LLC",1-K,0001493152-24-016309,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849911/000149315224016309/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849911/000149315224016309/0001493152-24-016309.txt
0001849911,"Masterworks 052, LLC",1-SA,0001493152-23-034165,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849911/000149315223034165/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849911/000149315223034165/0001493152-23-034165.txt
0001849912,"Masterworks 053, LLC",1-K,0001493152-24-016310,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849912/000149315224016310/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001849912/000149315224016310/0001493152-24-016310.txt
0001849912,"Masterworks 053, LLC",1-SA,0001493152-23-034166,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849912/000149315223034166/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001849912/000149315223034166/0001493152-23-034166.txt
0001851018,"Masterworks 054, LLC",1-K,0001493152-24-016311,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001851018/000149315224016311/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001851018/000149315224016311/0001493152-24-016311.txt
0001851018,"Masterworks 054, LLC",1-SA,0001493152-23-034167,2023-09-27,form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001851018/000149315223034167/form1-sa.htm,https://www.sec.gov/Archives/edgar/data/0001851018/000149315223034167/0001493152-23-034167.txt
0001851026,"Masterworks 055, LLC",1-K,0001493152-24-016312,2024-04-26,xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001851026/000149315224016312/xsl1-K_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/0001851026/000149315224016312/0001493152-24-016312.txt
